,Inventory,Type,Date,Due Date,Num,Name,Qty,Invoiced,Backordered,Amount,Open Balance,Month,Year
0,E1083 (ADHESIVE-STRIP LASH/CLEAR (7G)),Sales Order,01/18/2018,02/17/2018,A29136,PRIME CK,36.0,0.0,36.0,36.0,36.0,1,2018
1,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/17/2018,06/16/2018,A29794,BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.,20.0,0.0,20.0,80.0,80.0,5,2018
2,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/21/2018,06/20/2018,A29812,BEAUTY ELEMENTS,48.0,0.0,48.0,192.0,192.0,5,2018
3,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/21/2018,06/20/2018,A29821,BEN'S (PA) BEAUTY SUPPLY DISTRIBUTOR INC.,12.0,0.0,12.0,48.0,48.0,5,2018
4,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/21/2018,06/20/2018,A29823,C&L TRADING OF MIAMI,144.0,0.0,144.0,576.0,576.0,5,2018
5,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/21/2018,06/20/2018,A29825,C&L TRADING OF MIAMI,48.0,0.0,48.0,192.0,192.0,5,2018
6,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/23/2018,07/22/2018,A29842,YOUNG'S TRADING (GA),24.0,12.0,12.0,96.0,48.0,5,2018
7,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/24/2018,06/23/2018,A29852,EVERGREEN BEAUTY,2.0,0.0,2.0,11.0,11.0,5,2018
8,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/24/2018,06/23/2018,A29854,DASO TRADING INC.,48.0,0.0,48.0,192.0,192.0,5,2018
9,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/25/2018,05/25/2018,A29859,A.S.K. BEAUTY,12.0,0.0,12.0,48.0,48.0,5,2018
10,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/29/2018,07/28/2018,A29863,"WURI, INC.",24.0,0.0,24.0,96.0,96.0,5,2018
11,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/29/2018,05/29/2018,A29864,"LUCKY TRADING, INC.",48.0,0.0,48.0,192.0,192.0,5,2018
12,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/29/2018,05/29/2018,A29865,1720 GROCERY STORE,1.0,0.0,1.0,9.0,9.0,5,2018
13,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/29/2018,06/28/2018,A29868,BIG MAN TRADING INC.,36.0,0.0,36.0,144.0,144.0,5,2018
14,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/30/2018,06/29/2018,A29872,US IMPORT,6.0,0.0,6.0,24.0,24.0,5,2018
15,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/31/2018,05/31/2018,A29873,EBS IMPORT&WHOLESALE (GA),3.0,0.0,3.0,12.0,12.0,5,2018
16,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/31/2018,06/30/2018,A29874,BEN'S (TX) BEAUTY SUPPLY DISTRIBUTOR INC.,48.0,0.0,48.0,192.0,192.0,5,2018
17,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,06/04/2018,08/03/2018,A29876,"WURI, INC.",24.0,0.0,24.0,96.0,96.0,6,2018
18,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,06/04/2018,08/03/2018,A29877,SUN 3 TRADING LLC.,12.0,0.0,12.0,48.0,48.0,6,2018
19,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,06/04/2018,07/04/2018,A29878,C&L TRADING OF MIAMI,96.0,0.0,96.0,384.0,384.0,6,2018
20,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,06/04/2018,07/04/2018,A29880,US IMPORT,6.0,0.0,6.0,24.0,24.0,6,2018
21,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,06/04/2018,07/04/2018,A29889,OH TRADING,24.0,0.0,24.0,90.0,90.0,6,2018
22,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/14/2018,09/13/2018,A30209,BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.,24.0,12.0,12.0,96.0,48.0,8,2018
23,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/14/2018,09/13/2018,A30212,FASHION POINT(10/21/19 close notice),24.0,0.0,24.0,96.0,96.0,8,2018
24,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/15/2018,10/14/2018,A30214,YOUNG'S TRADING (GA),48.0,0.0,48.0,192.0,192.0,8,2018
25,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/23/2018,09/22/2018,A30257,GRACE WORLD,96.0,48.0,48.0,384.0,192.0,8,2018
26,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/23/2018,09/22/2018,A30259,SONG'S WHOLESALE,48.0,0.0,48.0,192.0,192.0,8,2018
27,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/23/2018,09/22/2018,A30260,C&L TRADING OF MIAMI,48.0,36.0,12.0,192.0,48.0,8,2018
28,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/23/2018,09/22/2018,A30264,"TEN TEN US TRADING, CORP.",48.0,0.0,48.0,192.0,192.0,8,2018
29,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/24/2018,10/23/2018,A30272,"WURI, INC.",12.0,0.0,12.0,48.0,48.0,8,2018
30,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/27/2018,08/27/2018,A30274,HAIR CROWN BEAUTY SUPPLY,6.0,2.0,4.0,24.0,16.0,8,2018
31,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/27/2018,09/26/2018,A30276,J&J BEAUTY SUPPLY (GA),4.0,0.0,4.0,22.0,22.0,8,2018
32,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/29/2018,10/28/2018,A30286,YOUNG'S TRADING (GA),48.0,0.0,48.0,192.0,192.0,8,2018
33,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/30/2018,08/30/2018,A30291,EBS IMPORT&WHOLESALE (GA),6.0,0.0,6.0,24.0,24.0,8,2018
34,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/30/2018,09/29/2018,A30292,HAIR DEPOT PLUS(WARREN),24.0,0.0,24.0,96.0,96.0,8,2018
35,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,08/31/2018,10/30/2018,A30299,MISSION TRADING,12.0,0.0,12.0,48.0,48.0,8,2018
36,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,09/04/2018,10/04/2018,A30301,FASHION POINT(10/21/19 close notice),12.0,0.0,12.0,48.0,48.0,9,2018
37,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,09/04/2018,11/03/2018,A30306,SUN 3 TRADING LLC.,12.0,0.0,12.0,48.0,48.0,9,2018
38,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,10/01/2018,10/31/2018,A30426,7 DOLLAR BEAUTY SUPPLY,240.0,144.0,96.0,960.0,384.0,10,2018
39,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,10/05/2018,11/04/2018,A30442,DASO TRADING INC.,48.0,0.0,48.0,192.0,192.0,10,2018
40,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,10/08/2018,12/07/2018,A30451,"WURI, INC.",12.0,0.0,12.0,48.0,48.0,10,2018
41,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,10/08/2018,11/07/2018,A30458,PAUL'S BEAUTY WHOLESALE,10.0,0.0,10.0,40.0,40.0,10,2018
42,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,10/09/2018,11/08/2018,A30459,BIG MAN TRADING INC.,24.0,0.0,24.0,96.0,96.0,10,2018
43,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,10/09/2018,11/08/2018,A30462,GRACE WORLD,48.0,0.0,48.0,192.0,192.0,10,2018
44,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,03/06/2019,04/05/2019,A31314,US IMPORT,6.0,0.0,6.0,24.0,24.0,3,2019
45,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,06/04/2019,07/04/2019,A31821,PRIME CK,12.0,0.0,12.0,48.0,48.0,6,2019
46,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,07/02/2019,08/01/2019,A31971,BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.,12.0,0.0,12.0,48.0,48.0,7,2019
47,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,10/01/2019,10/16/2019,A32422,BEAUTY CASTLE,12.0,0.0,12.0,48.0,48.0,10,2019
48,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,05/21/2020,06/05/2020,A33663,BEAUTY MART 1 (BEAUTY STORE),1.0,0.0,1.0,6.0,6.0,5,2020
49,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,06/29/2020,07/29/2020,A33900,KINGS BEAUTY SUPPLY (MAULDIN SC),2.0,0.0,2.0,12.0,12.0,6,2020
50,K001 (DU-RAG : BLACK (DZ/48 DZ)),Sales Order,06/29/2020,07/29/2020,A33901,"BEAUTY MARK (TUSCALOOSA, AL)",1.0,0.0,1.0,6.0,6.0,6,2020
52,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,08/17/2018,09/16/2018,A30233,"UNION SALES, INC.",48.0,0.0,48.0,192.0,192.0,8,2018
53,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,08/17/2018,09/16/2018,A30235,7 DOLLAR BEAUTY SUPPLY,48.0,0.0,48.0,192.0,192.0,8,2018
54,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,08/22/2018,10/21/2018,A30255,YOUNG'S TRADING (GA),12.0,0.0,12.0,48.0,48.0,8,2018
55,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,08/23/2018,09/22/2018,A30264,"TEN TEN US TRADING, CORP.",6.0,0.0,6.0,24.0,24.0,8,2018
56,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,08/24/2018,10/23/2018,A30272,"WURI, INC.",6.0,0.0,6.0,24.0,24.0,8,2018
57,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,08/27/2018,08/27/2018,A30274,HAIR CROWN BEAUTY SUPPLY,3.0,2.0,1.0,12.0,4.0,8,2018
58,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,08/27/2018,09/26/2018,A30279,US IMPORT,6.0,0.0,6.0,24.0,24.0,8,2018
59,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,08/29/2018,10/28/2018,A30286,YOUNG'S TRADING (GA),24.0,0.0,24.0,96.0,96.0,8,2018
60,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,10/01/2018,10/31/2018,A30426,7 DOLLAR BEAUTY SUPPLY,96.0,0.0,96.0,384.0,384.0,10,2018
61,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,10/04/2018,12/03/2018,A30437,PKNY INTERNATIONAL INC.,72.0,0.0,72.0,288.0,288.0,10,2018
62,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,10/09/2018,11/08/2018,A30462,GRACE WORLD,48.0,0.0,48.0,192.0,192.0,10,2018
63,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,10/29/2018,11/28/2018,A30551,US IMPORT,6.0,0.0,6.0,24.0,24.0,10,2018
64,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,05/06/2019,07/05/2019,A31659,"ALICIA INTERNATIONAL, INC.",20.0,0.0,20.0,80.0,80.0,5,2019
65,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,05/20/2020,06/04/2020,A33649,BYESSENCE BEAUTY(J&D ENT.),1.0,0.0,1.0,4.5,4.5,5,2020
66,K002 (DU-RAG : WHITE (DZ/48 DZ)),Sales Order,06/29/2020,07/29/2020,A33900,KINGS BEAUTY SUPPLY (MAULDIN SC),1.0,0.0,1.0,6.0,6.0,6,2020
67,K003 (DU-RAG : RED (DZ/48 DZ)),Sales Order,05/11/2018,06/10/2018,A29760,7 DOLLAR BEAUTY SUPPLY,24.0,6.0,18.0,96.0,72.0,5,2018
68,K003 (DU-RAG : RED (DZ/48 DZ)),Sales Order,05/15/2018,06/14/2018,A29783,US IMPORT,6.0,0.0,6.0,24.0,24.0,5,2018
69,K003 (DU-RAG : RED (DZ/48 DZ)),Sales Order,05/21/2018,05/21/2018,A29808,HAIR CROWN BEAUTY SUPPLY,3.0,0.0,3.0,12.0,12.0,5,2018
70,K003 (DU-RAG : RED (DZ/48 DZ)),Sales Order,05/21/2018,06/20/2018,A29810,"TEN TEN US TRADING, CORP.",6.0,0.0,6.0,24.0,24.0,5,2018
71,K003 (DU-RAG : RED (DZ/48 DZ)),Sales Order,05/22/2018,06/21/2018,A29829,US IMPORT,6.0,0.0,6.0,24.0,24.0,5,2018
72,K003 (DU-RAG : RED (DZ/48 DZ)),Sales Order,05/24/2018,06/23/2018,A29854,DASO TRADING INC.,12.0,0.0,12.0,48.0,48.0,5,2018
73,K003 (DU-RAG : RED (DZ/48 DZ)),Sales Order,05/29/2018,07/28/2018,A29863,"WURI, INC.",3.0,0.0,3.0,12.0,12.0,5,2018
74,K003 (DU-RAG : RED (DZ/48 DZ)),Sales Order,05/30/2018,06/29/2018,A29869,"A-1 TRADING, INC. (GA)",6.0,0.0,6.0,24.0,24.0,5,2018
75,K003 (DU-RAG : RED (DZ/48 DZ)),Sales Order,05/30/2018,06/29/2018,A29872,US IMPORT,6.0,0.0,6.0,24.0,24.0,5,2018
76,K003 (DU-RAG : RED (DZ/48 DZ)),Sales Order,06/04/2018,08/03/2018,A29876,"WURI, INC.",6.0,0.0,6.0,24.0,24.0,6,2018
