Customer#,Store Name,Address,City,State,Phone1,Term,Balance,Credit,Last Amount
MD4052WK,"2J GROUP, INC.", 9125 BURSA RD. #B,LAUREL,MD,410-234-8989,NET60,"$58,803.98 ",$25.65 ,"$8,743.80 "
FL9028IN,69 URBAN,3851  62ND AVE  N  STE G,PINELLAS PARK,FL,770-882-9028,CREDIT,$0.00 ,$0.00 ,$127.18 
TX0750WK,7 DOLLAR BEAUTY SUPPLY,2666 MANANA DR.,DALLAS,TX,972-620-0750,NET30,"$9,469.60 ","$1,026.00 ","$9,469.60 "
CA9999IN,A,5555,,,,,$0.00 ,$0.00 ,
NC8506IN,A CUTT ABOVE HAIR ACADEMY,109 SOUTH LODGE ST,WILSON,NC,252-801-8506,CREDIT,$0.00 ,$0.00 ,$56.26 
FL0606RN,A&G BARBER SUPPLY,1057 BUTTERY POINTE DR.,ORLANDO,FL,407-780-0606,CREDIT,$0.00 ,$0.00 ,$0.00 
CA4354DLWK,A.S.K. BEAUTY,4040 W. WASHINGTON BLVD.,LOS ANGELES,CA,213-500-4354,COD,"$9,186.00 ",$270.00 ,($270.00)
GA4060HKWK,"A-1 TRADING, INC.","5745 BUFORD HWY., STE# 101",ATLANTA,GA,770-451-4060,NET30,"$43,139.19 ",$72.67 ,"$3,026.70 "
GA5186IN,ABI  THE  BEST,2018 CHESLEY DR,AUSTELL,GA,404-399-5186,CREDIT,$0.00 ,$0.00 ,$157.51 
VA2002IN,AESTHETICS SALON,2412 26TH ROAD SOUTH,ARLINGTON,VA,7032202002,,$0.00 ,$0.00 ,$248.12 
UK0752WN,AIMEE'S HAIR & BEAUTY SALON,583 WIMBORNE RD.,BOURNEMOUTH,,01202-530752,CASH,$0.00 ,$0.00 ,$0.00 
GA7802IN,ALICE WOODHAM,253 LACROSS ROAD,AMERICUS,GA,229-924-7802,CREDIT,$0.00 ,$0.00 ,$81.40 
IL0404DLWK,"ALICIA INTERNATIONAL, INC.",7354 N. CALDWELL AVE.,NILES,IL,847-324-0404,CHECK,"$56,708.25 ",$0.00 ,"$5,764.60 "
AMZ9523JM,AMAZON,1630 SATELLITE BLVD,DULUTH,GA,678-978-9523,COD,"$13,941.70 ",$0.00 ,"$13,941.70 "
AL0726IN,AMBER BELL,699 COVERED BRIDGE PKWY APT O,PRATTVILLE,AL,334-368-0726,CREDIT,$0.00 ,$0.00 ,$48.55 
CA6456IN,AMIPARD HAIR,20359 ANZA   AVE  APT 25,TORRANCE,CA,424-522-6456,CREDIT,$0.00 ,$0.00 ,$146.91 
TX4464KMWK,AMKO TRADING,9889 HARWIN DR. #301-306,HOUSTON,TX,713-783-4464,CHECK,$0.00 ,$0.00 ,"$32,353.67 "
KY2932IN,ANGELS TOUCH LLC,300 STONE LN,HOPKINSVILLE,KY,270-305-2932,CREDIT,$0.00 ,$0.00 ,$0.00 
NJ4116RK,ANNIE'S BEAUTY SUPPLY,1420 ATLANTIC  AVE.,ATLANTIC CITY,NJ,6094374116,CREDIT,$0.00 ,$0.00 ,$0.00 
NC7131KO,ANNS BEAUTY SUPPLY,6119 SOUTH BLVD,CHARLOTTE,NC,704-553-7049,CREDIT,$0.00 ,$0.00 ,
MD2060IN,ARLETTE  WHITLEY,7501 TRAFALGAR CIRCLE  I 169,HANOVER,MD,240-346-2060,CREDIT,$0.00 ,$0.00 ,$0.00 
NE9512IN,ATAJA  FREZELL,3667 SUMMIT STREET,OMAHA,NE,605-690-9512,CREDIT,$0.00 ,$0.00 ,$85.11 
FL4265IN,ATTENTION TO DETAIL BARBER LOUNGE,7255  COLUMNS  CIRCLE  APT 208,NEW PORT RICHEY,FL,973-767-4265,CREDIT,$0.00 ,$0.00 ,$66.67 
NY3928IN,B. RENEWED LLC,1 ELLICOTT ST,ROCHESTER,NY,404-735-3928,CREDIT,$0.00 ,$0.00 ,$227.49 
FR6607WN,BACO DISTRIBUTION,"LAFERODIE, BON ENCONTRE, 47240",,,33652366607,CASH,"$1,080.00 ",$0.00 ,"$1,080.00 "
MD3666HKWK,BARBER XPRESS,5626 MILLWHEEL PL.,COLUMBIA,MD,410-402-3666,CREDIT,$0.00 ,$0.00 ,$255.00 
NY7788RK,"BARBIE BEAUTY SUPPLY, INC",1076 RUTLAND RD,BROOKLYN,NY,347-788-7788,CREDIT,$0.00 ,$0.00 ,$773.50 
NY1300RK,BEAUTY & MORE,311 MERITT AVE.,WYANDANCH,NY,631-643-1300,CREDIT,$0.00 ,$21.85 ,($21.85)
NC3818DLRK,BEAUTY & US SUPPLY,2536 ONSLOW DR.,JACKSONVILLE,NC,910-938-3818,NET30,$307.80 ,$0.00 ,$307.80 
NC9252RN,BEAUTY BAR & SUPPLY,7830 GOOD MIDDLING DR. #A,FAYETTEVILLE,NC,9102239252,CREDIT,$0.00 ,$0.00 ,$331.00 
