DATE,TRANSACTION,TOTAL,AVERAGE,COST,PROFIT,RATE(%)
7/1/2020,6,"$54,158.19 ","$9,026.37 ","$23,731.38 ","$30,426.81 ",$1.16 
7/2/2020,11,"$26,608.40 ","$2,418.95 ","$11,603.17 ","$14,984.90 ",$0.57 
7/6/2020,4,"$16,801.38 ","$4,200.35 ","$6,798.81 ","$10,002.57 ",$0.36 
7/7/2020,6,"$59,098.12 ","$9,849.69 ","$27,087.40 ","$32,010.72 ",$1.27 
7/8/2020,20,"$55,559.88 ","$2,777.99 ","$22,956.15 ","$32,495.95 ",$1.19 
7/9/2020,10,"$13,860.08 ","$1,386.01 ","$6,027.42 ","$7,832.66 ",$0.29 
7/10/2020,12,"$42,598.32 ","$3,549.86 ","$18,355.00 ","$24,216.32 ",$0.91 
7/13/2020,7,"$16,186.37 ","$2,312.34 ","$6,805.88 ","$9,310.75 ",$0.34 
7/14/2020,10,"$87,336.52 ","$8,733.65 ","$39,336.13 ","$48,646.37 ",$1.88 
7/15/2020,8,"$11,232.26 ","$1,404.03 ","$4,673.74 ","$6,537.66 ",$0.24 
7/16/2020,12,"$30,559.57 ","$2,546.63 ","$13,042.62 ","$17,502.78 ",$0.65 
7/17/2020,8,"$35,241.59 ","$4,405.20 ","$15,375.50 ","$19,843.91 ",$0.76 
7/20/2020,10,"$16,500.05 ","$1,650.01 ","$6,901.23 ","$9,530.17 ",$0.35 
7/21/2020,18,"$79,674.40 ","$4,426.36 ","$35,455.51 ","$44,117.10 ",$1.71 
7/22/2020,8,"$11,971.65 ","$1,496.46 ","$5,216.02 ","$6,734.63 ",$0.25 
7/23/2020,11,"$82,601.23 ","$7,509.20 ","$37,321.62 ","$45,212.90 ",$1.78 
7/24/2020,11,"$49,657.99 ","$4,514.36 ","$20,772.03 ","$29,125.67 ",$1.07 
7/27/2020,5,"$22,875.12 ","$4,575.02 ","$10,480.85 ","$12,394.27 ",$0.49 
7/28/2020,10,"$28,682.85 ","$2,868.29 ","$12,884.85 ","$15,712.23 ",$0.61 
7/29/2020,13,"$44,636.83 ","$3,433.60 ","$12,325.69 ","$32,245.85 ",$0.96 
7/30/2020,14,"$82,724.48 ","$5,908.89 ","$31,446.23 ","$51,849.69 ",$1.78 
7/31/2020,16,"$141,767.86 ","$8,860.49 ","$57,941.42 ","$84,575.45 ",$3.05 
8/3/2020,9,"$16,522.44 ","$1,835.83 ","$5,699.44 ","$10,830.66 ",$0.35 
8/4/2020,8,"$56,140.29 ","$7,017.54 ","$22,248.42 ","$34,005.27 ",$1.21 
8/5/2020,7,"$13,140.87 ","$1,877.27 ","$5,448.88 ","$7,737.79 ",$0.28 
8/6/2020,16,"$56,133.97 ","$3,508.37 ","$23,840.51 ","$32,344.17 ",$1.21 
8/7/2020,5,"$5,608.32 ","$1,121.66 ","$2,242.06 ","$3,295.56 ",$0.12 
8/10/2020,6,"$19,741.08 ","$3,290.18 ","$7,787.00 ","$11,597.96 ",$0.42 
8/11/2020,14,"$49,418.72 ","$3,529.91 ","$21,579.83 ","$27,813.89 ",$1.06 
8/12/2020,7,"$8,689.40 ","$1,241.34 ","$3,321.13 ","$5,343.12 ",$0.18 
8/13/2020,17,"$80,620.81 ","$4,742.40 ","$35,088.39 ","$45,612.40 ",$1.73 
