Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
"DPBOX (DISPLAY BOX, WHITE (PC/50PCS))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
IN5011 (MESH WIG CAP (DOME STYLE) : BK (PC/288PCS)),288.00,122.40,0.0%,0.43,122.40,0.43,0.00,0.0%
"IN5011-3 (MESH WIG CAP (DOME STYLE) : BK, 3PCS(PK/96PK))",196.00,0.00,0.0%,0.00,249.90,1.28,-249.90,100.0%
IN5017 (SPANDEX DOME CAP : BLACK (PC/288PCS)),216.00,48.00,0.0%,0.22,72.00,0.33,-24.00,-50.0%
"IN5017-3 (SPANDEX DOME CAP : BLACK, 3PCS (PK/96PK))",192.00,192.00,0.0%,1.00,192.00,1.00,0.00,0.0%
"IN5021-3 (MESH WIG CAP, XL (DOME STYLE) : BK, 3PCS (PK/96PK))",96.00,0.00,0.0%,0.00,127.20,1.33,-127.20,100.0%
K001 (DU-RAG : BLACK (DZ/48 DZ)),200.00,909.00,0.0%,4.55,526.81,2.63,382.19,42.05%
K002 (DU-RAG : WHITE (DZ/48 DZ)),30.00,135.00,0.0%,4.50,78.38,2.61,56.62,41.94%
K003 (DU-RAG : RED (DZ/48 DZ)),22.00,99.00,0.0%,4.50,55.99,2.55,43.01,43.44%
K004 (DU-RAG : BLUE (DZ/48 DZ)),78.00,351.00,0.0%,4.50,191.14,2.45,159.86,45.54%
K005 (DU-RAG : ROYAL BLUE (DZ/48 DZ)),66.00,297.00,0.0%,4.50,158.40,2.40,138.60,46.67%
K006 (DU-RAG : SKY BLUE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K007 (DU-RAG : LIGHT GRAY (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K008 (DU-RAG : BROWN (DZ/48 DZ)),16.00,72.00,0.0%,4.50,40.72,2.55,31.28,43.44%
K009 (DU-RAG : KHAKI (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K010 (DU-RAG : YELLOW (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K011 (DU-RAG : ORANGE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K012 (DU-RAG : GREEN (DZ/48 DZ)),6.00,27.00,0.0%,4.50,13.64,2.27,13.36,49.48%
K013 (DU-RAG : PINK (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K014 (DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K016 (DU-RAG (CENTER) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K018 (DU-RAG : ASSORTED (DZ/48 DZ)),29.00,135.00,0.0%,4.66,73.08,2.52,61.92,45.87%
K021 (ARMY DU-RAG (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K030 (COOL MESH DU-RAG : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K031 (COOL MESH DU-RAG : BLACK (DZ/48 DZ)),6.00,39.00,0.0%,6.50,18.02,3.00,20.98,53.8%
K032 (COOL MESH DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K035 (COOL MESH DOME-CAP : ASSORTED (DZ/48 DZ)),6.00,39.00,0.0%,6.50,15.00,2.50,24.00,61.54%
K036 (COOL MESH DOME-CAP : BLACK (DZ/48 DZ)),12.00,83.00,0.0%,6.92,30.00,2.50,53.00,63.86%
K037 (COOL MESH DOME-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K038 (STRETCH MESH DOME CAP : BLACK (DZ/24DZ)),10.00,153.00,0.0%,15.30,58.79,5.88,94.21,61.58%
K050 (KID DU-RAG : ASSORTED COLOR (DZ/48 DZ)),21.00,94.50,0.0%,4.50,46.20,2.20,48.30,51.11%
K051 (KID DU-RAG : BLACK (DZ/48 DZ)),80.00,363.00,0.0%,4.54,176.27,2.20,186.73,51.44%
K052 (KID DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K053 (KID DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K058 (KID STOCKING CAP : ASSORT (DZ/60 DZ)),6.00,21.00,0.0%,3.50,9.60,1.60,11.40,54.29%
K059 (KID STOCKING CAP : BLACK (DZ/60 DZ)),8.00,28.00,0.0%,3.50,12.40,1.55,15.60,55.71%
K060 (STOCKING WAVE-CAP (2 PC) : ASSORT (DZ/60 DZ)),45.00,157.50,0.0%,3.50,78.75,1.75,78.75,50.0%
