Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
"DPBOX (DISPLAY BOX, WHITE (PC/50PCS))",2.00,0.00,0.0%,0.00,1.10,0.55,-1.10,100.0%
IN5011 (MESH WIG CAP (DOME STYLE) : BK (PC/288PCS)),288.00,122.40,0.0%,0.43,122.40,0.43,0.00,0.0%
"IN5011-3 (MESH WIG CAP (DOME STYLE) : BK, 3PCS(PK/96PK))",192.00,244.80,0.0%,1.28,244.80,1.28,0.00,0.0%
IN5017 (SPANDEX DOME CAP : BLACK (PC/288PCS)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"IN5017-3 (SPANDEX DOME CAP : BLACK, 3PCS (PK/96PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"IN5021-3 (MESH WIG CAP, XL (DOME STYLE) : BK, 3PCS (PK/96PK))",96.00,127.20,0.0%,1.33,127.20,1.33,0.00,0.0%
K001 (DU-RAG : BLACK (DZ/48 DZ)),"1,330.00","5,991.00",0.0%,4.50,"3,486.81",2.62,"2,504.19",41.8%
K002 (DU-RAG : WHITE (DZ/48 DZ)),104.00,468.00,0.0%,4.50,271.71,2.61,196.29,41.94%
K003 (DU-RAG : RED (DZ/48 DZ)),31.00,141.00,0.0%,4.55,78.90,2.55,62.10,44.04%
K004 (DU-RAG : BLUE (DZ/48 DZ)),9.00,42.00,0.0%,4.67,22.05,2.45,19.95,47.5%
K005 (DU-RAG : ROYAL BLUE (DZ/48 DZ)),23.00,105.00,0.0%,4.57,55.20,2.40,49.80,47.43%
K006 (DU-RAG : SKY BLUE (DZ/48 DZ)),28.00,128.00,0.0%,4.57,69.53,2.48,58.47,45.68%
K007 (DU-RAG : LIGHT GRAY (DZ/48 DZ)),12.00,54.00,0.0%,4.50,31.38,2.62,22.62,41.89%
K008 (DU-RAG : BROWN (DZ/48 DZ)),32.00,145.50,0.0%,4.55,76.78,2.40,68.72,47.23%
K009 (DU-RAG : KHAKI (DZ/48 DZ)),6.00,27.00,0.0%,4.50,15.82,2.64,11.18,41.41%
K010 (DU-RAG : YELLOW (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K011 (DU-RAG : ORANGE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K012 (DU-RAG : GREEN (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K013 (DU-RAG : PINK (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K014 (DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K016 (DU-RAG (CENTER) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K018 (DU-RAG : ASSORTED (DZ/48 DZ)),288.00,"1,297.50",0.0%,4.51,725.72,2.52,571.78,44.07%
K021 (ARMY DU-RAG (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K030 (COOL MESH DU-RAG : ASSORTED (DZ/48 DZ)),56.00,366.50,0.0%,6.54,157.58,2.81,208.92,57.0%
K031 (COOL MESH DU-RAG : BLACK (DZ/48 DZ)),20.00,132.50,0.0%,6.63,61.56,3.08,70.94,53.54%
K032 (COOL MESH DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K035 (COOL MESH DOME-CAP : ASSORTED (DZ/48 DZ)),3.00,24.50,0.0%,8.17,7.50,2.50,17.00,69.39%
K036 (COOL MESH DOME-CAP : BLACK (DZ/48 DZ)),24.00,158.50,0.0%,6.60,60.00,2.50,98.50,62.15%
K037 (COOL MESH DOME-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K038 (STRETCH MESH DOME CAP : BLACK (DZ/24DZ)),14.00,207.00,0.0%,14.79,82.31,5.88,124.69,60.24%
K050 (KID DU-RAG : ASSORTED COLOR (DZ/48 DZ)),103.00,471.00,0.0%,4.57,226.60,2.20,244.40,51.89%
K051 (KID DU-RAG : BLACK (DZ/48 DZ)),45.00,213.00,0.0%,4.73,99.27,2.21,113.73,53.39%
K052 (KID DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K053 (KID DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K058 (KID STOCKING CAP : ASSORT (DZ/60 DZ)),107.00,379.00,0.0%,3.54,171.20,1.60,207.80,54.83%
K059 (KID STOCKING CAP : BLACK (DZ/60 DZ)),122.00,434.50,0.0%,3.56,189.10,1.55,245.40,56.48%
K060 (STOCKING WAVE-CAP (2 PC) : ASSORT (DZ/60 DZ)),285.00,"1,014.00",0.0%,3.56,498.75,1.75,515.25,50.81%
