Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
"DPBOX (DISPLAY BOX, WHITE (PC/50PCS))",1.00,0.00,0.0%,0.00,0.55,0.55,-0.55,100.0%
IN5011 (MESH WIG CAP (DOME STYLE) : BK (PC/288PCS)),288.00,122.40,0.0%,0.43,122.40,0.43,0.00,0.0%
"IN5011-3 (MESH WIG CAP (DOME STYLE) : BK, 3PCS(PK/96PK))",192.00,244.80,0.0%,1.28,244.80,1.28,0.00,0.0%
IN5017 (SPANDEX DOME CAP : BLACK (PC/288PCS)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"IN5017-3 (SPANDEX DOME CAP : BLACK, 3PCS (PK/96PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"IN5021-3 (MESH WIG CAP, XL (DOME STYLE) : BK, 3PCS (PK/96PK))",96.00,127.20,0.0%,1.33,127.20,1.33,0.00,0.0%
K001 (DU-RAG : BLACK (DZ/48 DZ)),404.00,"1,833.00",0.0%,4.54,"1,052.32",2.60,780.68,42.59%
K002 (DU-RAG : WHITE (DZ/48 DZ)),30.00,138.00,0.0%,4.60,78.40,2.61,59.60,43.19%
K003 (DU-RAG : RED (DZ/48 DZ)),81.00,370.50,0.0%,4.57,206.17,2.55,164.33,44.35%
K004 (DU-RAG : BLUE (DZ/48 DZ)),80.00,361.50,0.0%,4.52,196.03,2.45,165.47,45.77%
K005 (DU-RAG : ROYAL BLUE (DZ/48 DZ)),85.00,382.50,0.0%,4.50,204.00,2.40,178.50,46.67%
K006 (DU-RAG : SKY BLUE (DZ/48 DZ)),24.00,108.00,0.0%,4.50,59.60,2.48,48.40,44.82%
K007 (DU-RAG : LIGHT GRAY (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K008 (DU-RAG : BROWN (DZ/48 DZ)),8.00,36.00,0.0%,4.50,19.20,2.40,16.80,46.67%
K009 (DU-RAG : KHAKI (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K010 (DU-RAG : YELLOW (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K011 (DU-RAG : ORANGE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K012 (DU-RAG : GREEN (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K013 (DU-RAG : PINK (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K014 (DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),1.00,6.00,0.0%,6.00,0.00,0.00,6.00,100.0%
K016 (DU-RAG (CENTER) : ASSORTED (DZ/48 DZ)),1.00,6.00,0.0%,6.00,0.00,0.00,6.00,100.0%
K018 (DU-RAG : ASSORTED (DZ/48 DZ)),43.00,205.50,0.0%,4.78,108.36,2.52,97.14,47.27%
K021 (ARMY DU-RAG (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K030 (COOL MESH DU-RAG : ASSORTED (DZ/48 DZ)),8.00,52.00,0.0%,6.50,22.51,2.81,29.49,56.71%
K031 (COOL MESH DU-RAG : BLACK (DZ/48 DZ)),19.00,128.50,0.0%,6.76,58.49,3.08,70.01,54.48%
K032 (COOL MESH DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K035 (COOL MESH DOME-CAP : ASSORTED (DZ/48 DZ)),18.00,117.00,0.0%,6.50,45.00,2.50,72.00,61.54%
K036 (COOL MESH DOME-CAP : BLACK (DZ/48 DZ)),70.00,469.00,0.0%,6.70,175.00,2.50,294.00,62.69%
K037 (COOL MESH DOME-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K038 (STRETCH MESH DOME CAP : BLACK (DZ/24DZ)),7.00,112.50,0.0%,16.07,41.16,5.88,71.34,63.41%
K050 (KID DU-RAG : ASSORTED COLOR (DZ/48 DZ)),79.00,363.00,0.0%,4.59,173.80,2.20,189.20,52.12%
K051 (KID DU-RAG : BLACK (DZ/48 DZ)),218.00,988.50,0.0%,4.53,481.85,2.21,506.65,51.25%
K052 (KID DU-RAG : WHITE (DZ/48 DZ)),16.00,72.00,0.0%,4.50,0.00,0.00,72.00,100.0%
K053 (KID DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),1.00,6.00,0.0%,6.00,0.00,0.00,6.00,100.0%
K058 (KID STOCKING CAP : ASSORT (DZ/60 DZ)),18.00,63.00,0.0%,3.50,28.80,1.60,34.20,54.29%
K059 (KID STOCKING CAP : BLACK (DZ/60 DZ)),83.00,295.00,0.0%,3.55,128.65,1.55,166.35,56.39%
K060 (STOCKING WAVE-CAP (2 PC) : ASSORT (DZ/60 DZ)),84.00,296.50,0.0%,3.53,147.00,1.75,149.50,50.42%
K061 (STOCKING WAVE-CAP (2 PC) : BLACK (DZ/60 DZ)),744.00,"2,632.50",0.0%,3.54,"1,302.12",1.75,"1,330.38",50.54%
K062 (STOCKING WAVE-CAP (2 PC) : WHITE (DZ/60 DZ)),120.00,420.00,0.0%,3.50,210.00,1.75,210.00,50.0%
K063 (STOCKING WAVE-CAP (2 PC) : RED (DZ/60 DZ)),94.00,329.00,0.0%,3.50,164.50,1.75,164.50,50.0%
K064 (STOCKING WAVE-CAP (2 PC) : NAVY (DZ/60 DZ)),107.00,374.50,0.0%,3.50,187.25,1.75,187.25,50.0%
K065 (STOCKING WAVE-CAP (2 PC) : ROYAL (DZ/60 DZ)),25.00,87.50,0.0%,3.50,43.75,1.75,43.75,50.0%
K066 (STOCKING WAVE-CAP (2 PC) : SKY BL (DZ/60 DZ)),12.00,42.00,0.0%,3.50,21.00,1.75,21.00,50.0%
K067 (STOCKING WAVE-CAP (2 PC) : GRAY (DZ/60 DZ)),10.00,35.00,0.0%,3.50,17.41,1.74,17.59,50.26%
K068 (STOCKING WAVE-CAP (2 PC) : BROWN (DZ/60 DZ)),95.00,335.50,0.0%,3.53,166.08,1.75,169.42,50.5%
K070 (SPANDEX DOME-CAP : ASSORTED (DZ/48 DZ)),74.00,690.00,0.0%,9.32,288.60,3.90,401.40,58.17%
K071 (SPANDEX DOME-CAP : BLACK (DZ/48 DZ)),180.00,"1,659.00",0.0%,9.22,711.63,3.95,947.37,57.11%
K072 (SPANDEX DOME-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K075 (SPANDEX SKULL-CAP : ASSORTED (DZ/48 DZ)),44.00,376.50,0.0%,8.56,141.47,3.22,235.03,62.43%
K076 (SPANDEX SKULL-CAP : BLACK (DZ/48 DZ)),73.00,628.00,0.0%,8.60,231.41,3.17,396.59,63.15%
K077 (SPANDEX SKULL-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K080 (TIE-DOWN WAVE-CAP : ASSORT (DZ/48 DZ)),3.00,10.50,0.0%,3.50,0.00,0.00,10.50,100.0%
K081 (TIE-DOWN WAVE-CAP : BLACK (DZ/48 DZ)),19.00,66.50,0.0%,3.50,0.00,0.00,66.50,100.0%
K082 (TIE-DOWN WAVE-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K083 (DREADLOCK WAVE CAP : ASSORT (DZ/40DZ)),425.00,"3,650.00",0.0%,8.59,"1,430.37",3.37,"2,219.63",60.81%
K084 (DREADLOCK WAVE CAP : BLACK (DZ/40DZ)),447.00,"3,879.00",0.0%,8.68,"1,534.02",3.43,"2,344.98",60.45%
K085 (DREADLOCK WAVE CAP (JUMBO) : ASSORT (DZ/24DZ)),237.00,"2,645.00",0.0%,11.16,"1,106.49",4.67,"1,538.51",58.17%
K086 (DREADLOCK WAVE CAP (JUMBO) : BLACK (DZ/24DZ)),408.00,"4,537.00",0.0%,11.12,"1,902.92",4.66,"2,634.08",58.06%
