Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
"DPBOX (DISPLAY BOX, WHITE (PC/50PCS))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
IN5011 (MESH WIG CAP (DOME STYLE) : BK (PC/288PCS)),288.00,122.40,0.0%,0.43,122.40,0.43,0.00,0.0%
"IN5011-3 (MESH WIG CAP (DOME STYLE) : BK, 3PCS(PK/96PK))",384.00,489.60,0.0%,1.28,489.60,1.28,0.00,0.0%
IN5017 (SPANDEX DOME CAP : BLACK (PC/288PCS)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"IN5017-3 (SPANDEX DOME CAP : BLACK, 3PCS (PK/96PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"IN5021-3 (MESH WIG CAP, XL (DOME STYLE) : BK, 3PCS (PK/96PK))",96.00,127.20,0.0%,1.33,127.20,1.33,0.00,0.0%
K001 (DU-RAG : BLACK (DZ/48 DZ)),"1,051.00","4,744.50",0.0%,4.51,"2,768.29",2.63,"1,976.21",41.65%
K002 (DU-RAG : WHITE (DZ/48 DZ)),99.00,447.00,0.0%,4.52,258.64,2.61,188.36,42.14%
K003 (DU-RAG : RED (DZ/48 DZ)),72.00,327.00,0.0%,4.54,183.26,2.55,143.74,43.96%
K004 (DU-RAG : BLUE (DZ/48 DZ)),17.00,79.50,0.0%,4.68,41.66,2.45,37.84,47.6%
K005 (DU-RAG : ROYAL BLUE (DZ/48 DZ)),10.00,46.50,0.0%,4.65,24.00,2.40,22.50,48.39%
K006 (DU-RAG : SKY BLUE (DZ/48 DZ)),8.00,37.50,0.0%,4.69,19.86,2.48,17.64,47.04%
K007 (DU-RAG : LIGHT GRAY (DZ/48 DZ)),5.00,22.50,0.0%,4.50,13.07,2.61,9.43,41.91%
K008 (DU-RAG : BROWN (DZ/48 DZ)),19.00,85.50,0.0%,4.50,48.34,2.54,37.16,43.46%
K009 (DU-RAG : KHAKI (DZ/48 DZ)),9.00,40.50,0.0%,4.50,23.73,2.64,16.77,41.41%
K010 (DU-RAG : YELLOW (DZ/48 DZ)),5.00,22.50,0.0%,4.50,12.00,2.40,10.50,46.67%
K011 (DU-RAG : ORANGE (DZ/48 DZ)),5.00,22.50,0.0%,4.50,12.00,2.40,10.50,46.67%
K012 (DU-RAG : GREEN (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K013 (DU-RAG : PINK (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K014 (DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K016 (DU-RAG (CENTER) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K018 (DU-RAG : ASSORTED (DZ/48 DZ)),148.00,672.00,0.0%,4.54,372.94,2.52,299.06,44.5%
K021 (ARMY DU-RAG (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K030 (COOL MESH DU-RAG : ASSORTED (DZ/48 DZ)),1.00,9.00,0.0%,9.00,2.81,2.81,6.19,68.78%
K031 (COOL MESH DU-RAG : BLACK (DZ/48 DZ)),134.00,876.00,0.0%,6.54,402.50,3.00,473.50,54.05%
K032 (COOL MESH DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K035 (COOL MESH DOME-CAP : ASSORTED (DZ/48 DZ)),13.00,87.00,0.0%,6.69,32.50,2.50,54.50,62.64%
K036 (COOL MESH DOME-CAP : BLACK (DZ/48 DZ)),19.00,123.50,0.0%,6.50,47.50,2.50,76.00,61.54%
K037 (COOL MESH DOME-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K038 (STRETCH MESH DOME CAP : BLACK (DZ/24DZ)),11.00,148.50,0.0%,13.50,64.67,5.88,83.83,56.45%
K050 (KID DU-RAG : ASSORTED COLOR (DZ/48 DZ)),100.00,454.50,0.0%,4.55,220.00,2.20,234.50,51.6%
K051 (KID DU-RAG : BLACK (DZ/48 DZ)),301.00,"1,366.50",0.0%,4.54,663.14,2.20,703.36,51.47%
K052 (KID DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K053 (KID DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K058 (KID STOCKING CAP : ASSORT (DZ/60 DZ)),22.00,86.00,0.0%,3.91,35.20,1.60,50.80,59.07%
K059 (KID STOCKING CAP : BLACK (DZ/60 DZ)),146.00,520.00,0.0%,3.56,226.32,1.55,293.68,56.48%
K060 (STOCKING WAVE-CAP (2 PC) : ASSORT (DZ/60 DZ)),36.00,130.50,0.0%,3.63,63.00,1.75,67.50,51.72%
