Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
"DPBOX (DISPLAY BOX, WHITE (PC/50PCS))",50.00,0.00,0.0%,0.00,27.50,0.55,-27.50,100.0%
IN5011 (MESH WIG CAP (DOME STYLE) : BK (PC/288PCS)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"IN5011-3 (MESH WIG CAP (DOME STYLE) : BK, 3PCS(PK/96PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
IN5017 (SPANDEX DOME CAP : BLACK (PC/288PCS)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"IN5017-3 (SPANDEX DOME CAP : BLACK, 3PCS (PK/96PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"IN5021-3 (MESH WIG CAP, XL (DOME STYLE) : BK, 3PCS (PK/96PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K001 (DU-RAG : BLACK (DZ/48 DZ)),483.00,"2,205.00",0.0%,4.57,"1,272.22",2.63,932.78,42.3%
K002 (DU-RAG : WHITE (DZ/48 DZ)),21.00,99.00,0.0%,4.71,54.88,2.61,44.12,44.57%
K003 (DU-RAG : RED (DZ/48 DZ)),29.00,133.50,0.0%,4.60,73.82,2.55,59.68,44.7%
K004 (DU-RAG : BLUE (DZ/48 DZ)),8.00,37.50,0.0%,4.69,19.60,2.45,17.90,47.73%
K005 (DU-RAG : ROYAL BLUE (DZ/48 DZ)),1.00,6.00,0.0%,6.00,2.40,2.40,3.60,60.0%
K006 (DU-RAG : SKY BLUE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K007 (DU-RAG : LIGHT GRAY (DZ/48 DZ)),31.00,139.50,0.0%,4.50,81.05,2.61,58.45,41.9%
K008 (DU-RAG : BROWN (DZ/48 DZ)),34.00,154.50,0.0%,4.54,86.52,2.54,67.98,44.0%
K009 (DU-RAG : KHAKI (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K010 (DU-RAG : YELLOW (DZ/48 DZ)),2.00,12.00,0.0%,6.00,4.80,2.40,7.20,60.0%
K011 (DU-RAG : ORANGE (DZ/48 DZ)),2.00,12.00,0.0%,6.00,4.80,2.40,7.20,60.0%
K012 (DU-RAG : GREEN (DZ/48 DZ)),1.00,6.00,0.0%,6.00,2.27,2.27,3.73,62.17%
K013 (DU-RAG : PINK (DZ/48 DZ)),1.00,6.00,0.0%,6.00,2.40,2.40,3.60,60.0%
K014 (DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K016 (DU-RAG (CENTER) : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K018 (DU-RAG : ASSORTED (DZ/48 DZ)),195.00,888.00,0.0%,4.55,491.38,2.52,396.62,44.66%
K021 (ARMY DU-RAG (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K030 (COOL MESH DU-RAG : ASSORTED (DZ/48 DZ)),9.00,61.00,0.0%,6.78,25.33,2.81,35.67,58.48%
K031 (COOL MESH DU-RAG : BLACK (DZ/48 DZ)),24.00,158.50,0.0%,6.60,72.10,3.00,86.40,54.51%
K032 (COOL MESH DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K035 (COOL MESH DOME-CAP : ASSORTED (DZ/48 DZ)),3.00,27.00,0.0%,9.00,7.50,2.50,19.50,72.22%
K036 (COOL MESH DOME-CAP : BLACK (DZ/48 DZ)),22.00,169.50,0.0%,7.70,55.00,2.50,114.50,67.55%
K037 (COOL MESH DOME-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K038 (STRETCH MESH DOME CAP : BLACK (DZ/24DZ)),19.00,261.00,0.0%,13.74,111.70,5.88,149.30,57.2%
K050 (KID DU-RAG : ASSORTED COLOR (DZ/48 DZ)),63.00,292.50,0.0%,4.64,138.60,2.20,153.90,52.62%
K051 (KID DU-RAG : BLACK (DZ/48 DZ)),184.00,840.00,0.0%,4.57,405.39,2.20,434.61,51.74%
K052 (KID DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K053 (KID DU-RAG (TWO TONE) : ASSORTED (DZ/48 DZ)),1.00,6.00,0.0%,6.00,0.00,0.00,6.00,100.0%
K058 (KID STOCKING CAP : ASSORT (DZ/60 DZ)),17.00,64.00,0.0%,3.76,27.20,1.60,36.80,57.5%
K059 (KID STOCKING CAP : BLACK (DZ/60 DZ)),131.00,466.00,0.0%,3.56,203.06,1.55,262.94,56.43%
K060 (STOCKING WAVE-CAP (2 PC) : ASSORT (DZ/60 DZ)),186.00,673.00,0.0%,3.62,325.50,1.75,347.50,51.63%
K061 (STOCKING WAVE-CAP (2 PC) : BLACK (DZ/60 DZ)),673.00,"2,405.50",0.0%,3.57,"1,177.83",1.75,"1,227.67",51.04%
K062 (STOCKING WAVE-CAP (2 PC) : WHITE (DZ/60 DZ)),88.00,314.00,0.0%,3.57,154.00,1.75,160.00,50.96%
K063 (STOCKING WAVE-CAP (2 PC) : RED (DZ/60 DZ)),9.00,34.50,0.0%,3.83,15.75,1.75,18.75,54.35%
K064 (STOCKING WAVE-CAP (2 PC) : NAVY (DZ/60 DZ)),16.00,60.50,0.0%,3.78,28.00,1.75,32.50,53.72%
K065 (STOCKING WAVE-CAP (2 PC) : ROYAL (DZ/60 DZ)),11.00,41.50,0.0%,3.77,19.25,1.75,22.25,53.61%
K066 (STOCKING WAVE-CAP (2 PC) : SKY BL (DZ/60 DZ)),18.00,63.00,0.0%,3.50,31.50,1.75,31.50,50.0%
K067 (STOCKING WAVE-CAP (2 PC) : GRAY (DZ/60 DZ)),2.00,10.00,0.0%,5.00,3.49,1.75,6.51,65.1%
K068 (STOCKING WAVE-CAP (2 PC) : BROWN (DZ/60 DZ)),5.00,26.00,0.0%,5.20,8.75,1.75,17.25,66.35%
K070 (SPANDEX DOME-CAP : ASSORTED (DZ/48 DZ)),112.00,"1,020.00",0.0%,9.11,436.80,3.90,583.20,57.18%
K071 (SPANDEX DOME-CAP : BLACK (DZ/48 DZ)),207.00,"1,896.00",0.0%,9.16,818.35,3.95,"1,077.65",56.84%
K072 (SPANDEX DOME-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K075 (SPANDEX SKULL-CAP : ASSORTED (DZ/48 DZ)),19.00,164.00,0.0%,8.63,61.09,3.22,102.91,62.75%
K076 (SPANDEX SKULL-CAP : BLACK (DZ/48 DZ)),91.00,781.00,0.0%,8.58,288.46,3.17,492.54,63.07%
K077 (SPANDEX SKULL-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K080 (TIE-DOWN WAVE-CAP : ASSORT (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K081 (TIE-DOWN WAVE-CAP : BLACK (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K082 (TIE-DOWN WAVE-CAP : WHITE (DZ/48 DZ)),1.00,5.00,0.0%,5.00,0.00,0.00,5.00,100.0%
K083 (DREADLOCK WAVE CAP : ASSORT (DZ/40DZ)),144.00,"1,252.00",0.0%,8.69,484.66,3.37,767.34,61.29%
K084 (DREADLOCK WAVE CAP : BLACK (DZ/40DZ)),382.00,"3,316.00",0.0%,8.68,"1,298.97",3.40,"2,017.03",60.83%
K085 (DREADLOCK WAVE CAP (JUMBO) : ASSORT (DZ/24DZ)),157.00,"1,747.00",0.0%,11.13,731.41,4.66,"1,015.59",58.13%
K086 (DREADLOCK WAVE CAP (JUMBO) : BLACK (DZ/24DZ)),379.00,"4,205.00",0.0%,11.09,"1,766.38",4.66,"2,438.62",57.99%
K090 (PLAY MAKER DU-RAG : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K091 (PLAY MAKER DU-RAG : BLACK (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K092 (PLAY MAKER DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K096 (PLAY MAKER DU-RAG(TWO) : ASSORT (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K2000 (VELVET DURAG : ASST (DZ / 24DZ)),133.00,"3,075.00",0.0%,23.12,"1,396.50",10.50,"1,678.50",54.59%
K2001 (VELVET DURAG : BK (DZ / 24DZ)),182.00,"4,177.50",0.0%,22.95,"1,911.00",10.50,"2,266.50",54.26%
K2002 (VELVET DURAG : WHT (DZ / 24DZ)),11.00,255.00,0.0%,23.18,115.50,10.50,139.50,54.71%
K2003 (VELVET DURAG : RED (DZ / 24DZ)),22.00,495.00,0.0%,22.50,231.00,10.50,264.00,53.33%
K2004 (VELVET DURAG : NAVY (DZ / 24DZ)),19.00,442.50,0.0%,23.29,199.50,10.50,243.00,54.92%
K2005 (VELVET DURAG : ROYAL (DZ / 24DZ)),24.00,555.00,0.0%,23.13,252.00,10.50,303.00,54.6%
K2006 (VELVET DURAG : SKY (DZ / 24DZ)),15.00,345.00,0.0%,23.00,157.50,10.50,187.50,54.35%
K2007 (VELVET DURAG : SLV (DZ / 24DZ)),15.00,337.50,0.0%,22.50,157.50,10.50,180.00,53.33%
K2008 (VELVET DURAG : YELLOW (DZ / 24DZ)),10.00,225.00,0.0%,22.50,105.00,10.50,120.00,53.33%
K2009 (VELVET DURAG : ORG (DZ / 24DZ)),12.00,285.00,0.0%,23.75,126.00,10.50,159.00,55.79%
K201 (SPANDEX VISOR DOME CAP : BLACK (DZ/24 DZ)),-1.00,-18.00,0.0%,18.00,-8.20,8.20,-9.80,54.44%
K2010 (VELVET DURAG : GRN (DZ / 24DZ)),14.00,322.50,0.0%,23.04,147.00,10.50,175.50,54.42%
K2011 (VELVET DURAG : PNK (DZ / 24DZ)),17.00,382.50,0.0%,22.50,178.50,10.50,204.00,53.33%
K2012 (VELVET DURAG : PURPLE (DZ / 24DZ)),20.00,457.50,0.0%,22.88,210.00,10.50,247.50,54.1%
K2013 (VELVET DURAG : GOLD (DZ / 24DZ)),10.00,225.00,0.0%,22.50,105.00,10.50,120.00,53.33%
K2014 (VELVET DOME CAP : ASST (DZ / 24DZ)),27.00,373.50,0.0%,13.83,172.80,6.40,200.70,53.74%
K2015 (VELVET DOME CAP : BK (DZ / 24DZ)),14.00,198.00,0.0%,14.14,89.60,6.40,108.40,54.75%
K2016 (METALLIC DURAG : ASST. (DZ/24DZ)),24.00,432.00,0.0%,18.00,180.00,7.50,252.00,58.33%
K2017 (METALLIC DURAG : WHITE (DZ/24DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K2018 (METALLIC DURAG : ROYAL (DZ/24DZ)),8.00,144.00,0.0%,18.00,60.00,7.50,84.00,58.33%
K2019 (METALLIC DURAG : PURPLE (DZ/24DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K202 (SPANDEX VISOR DOME CAP : WHITE (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K2020 (METALLIC DURAG : PINK (DZ/24DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
