,"Type","Date","Due Date","Num","Name","Qty","Invoiced","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,
"E1083 (ADHESIVE-STRIP LASH/CLEAR (7G))",,,,,,,,,,
,"Sales Order","01/18/2018","02/17/2018","A29136","PRIME CK",36,0,36,36.00,36.00
"Total E1083 (ADHESIVE-STRIP LASH/CLEAR (7G))",,,,,,36,0,36,36.00,36.00
"K001 (DU-RAG : BLACK (DZ/48 DZ))",,,,,,,,,,
,"Sales Order","05/17/2018","06/16/2018","A29794","BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.",20,0,20,80.00,80.00
,"Sales Order","05/21/2018","06/20/2018","A29812","BEAUTY ELEMENTS",48,0,48,192.00,192.00
,"Sales Order","05/21/2018","06/20/2018","A29821","BEN'S (PA) BEAUTY SUPPLY DISTRIBUTOR INC.",12,0,12,48.00,48.00
,"Sales Order","05/21/2018","06/20/2018","A29823","C&L TRADING OF MIAMI",144,0,144,576.00,576.00
,"Sales Order","05/21/2018","06/20/2018","A29825","C&L TRADING OF MIAMI",48,0,48,192.00,192.00
,"Sales Order","05/23/2018","07/22/2018","A29842","YOUNG'S TRADING (GA)",24,12,12,96.00,48.00
,"Sales Order","05/24/2018","06/23/2018","A29852","EVERGREEN BEAUTY",2,0,2,11.00,11.00
,"Sales Order","05/24/2018","06/23/2018","A29854","DASO TRADING INC.",48,0,48,192.00,192.00
,"Sales Order","05/25/2018","05/25/2018","A29859","A.S.K. BEAUTY",12,0,12,48.00,48.00
,"Sales Order","05/29/2018","07/28/2018","A29863","WURI, INC.",24,0,24,96.00,96.00
,"Sales Order","05/29/2018","05/29/2018","A29864","LUCKY TRADING, INC.",48,0,48,192.00,192.00
,"Sales Order","05/29/2018","05/29/2018","A29865","1720 GROCERY STORE",1,0,1,9.00,9.00
,"Sales Order","05/29/2018","06/28/2018","A29868","BIG MAN TRADING INC.",36,0,36,144.00,144.00
,"Sales Order","05/30/2018","06/29/2018","A29872","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","05/31/2018","05/31/2018","A29873","EBS IMPORT&WHOLESALE (GA)",3,0,3,12.00,12.00
,"Sales Order","05/31/2018","06/30/2018","A29874","BEN'S (TX) BEAUTY SUPPLY DISTRIBUTOR INC.",48,0,48,192.00,192.00
,"Sales Order","06/04/2018","08/03/2018","A29876","WURI, INC.",24,0,24,96.00,96.00
,"Sales Order","06/04/2018","08/03/2018","A29877","SUN 3 TRADING LLC.",12,0,12,48.00,48.00
,"Sales Order","06/04/2018","07/04/2018","A29878","C&L TRADING OF MIAMI",96,0,96,384.00,384.00
,"Sales Order","06/04/2018","07/04/2018","A29880","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","06/04/2018","07/04/2018","A29889","OH TRADING",24,0,24,90.00,90.00
,"Sales Order","08/14/2018","09/13/2018","A30209","BEN'S (MD) BEAUTY SUPPLY DISTRIBUTOR INC.",24,12,12,96.00,48.00
,"Sales Order","08/14/2018","09/13/2018","A30212","FASHION POINT(10/21/19 close notice)",24,0,24,96.00,96.00
,"Sales Order","08/15/2018","10/14/2018","A30214","YOUNG'S TRADING (GA)",48,0,48,192.00,192.00
,"Sales Order","08/23/2018","09/22/2018","A30257","GRACE WORLD",96,48,48,384.00,192.00
,"Sales Order","08/23/2018","09/22/2018","A30259","SONG'S WHOLESALE",48,0,48,192.00,192.00
,"Sales Order","08/23/2018","09/22/2018","A30260","C&L TRADING OF MIAMI",48,36,12,192.00,48.00
,"Sales Order","08/23/2018","09/22/2018","A30264","TEN TEN US TRADING, CORP.",48,0,48,192.00,192.00
,"Sales Order","08/24/2018","10/23/2018","A30272","WURI, INC.",12,0,12,48.00,48.00
,"Sales Order","08/27/2018","08/27/2018","A30274","HAIR CROWN BEAUTY SUPPLY",6,2,4,24.00,16.00
,"Sales Order","08/27/2018","09/26/2018","A30276","J&J BEAUTY SUPPLY (GA)",4,0,4,22.00,22.00
,"Sales Order","08/29/2018","10/28/2018","A30286","YOUNG'S TRADING (GA)",48,0,48,192.00,192.00
,"Sales Order","08/30/2018","08/30/2018","A30291","EBS IMPORT&WHOLESALE (GA)",6,0,6,24.00,24.00
,"Sales Order","08/30/2018","09/29/2018","A30292","HAIR DEPOT PLUS(WARREN)",24,0,24,96.00,96.00
,"Sales Order","08/31/2018","10/30/2018","A30299","MISSION TRADING",12,0,12,48.00,48.00
,"Sales Order","09/04/2018","10/04/2018","A30301","FASHION POINT(10/21/19 close notice)",12,0,12,48.00,48.00
,"Sales Order","09/04/2018","11/03/2018","A30306","SUN 3 TRADING LLC.",12,0,12,48.00,48.00
,"Sales Order","10/01/2018","10/31/2018","A30426","7 DOLLAR BEAUTY SUPPLY",240,144,96,960.00,384.00
,"Sales Order","10/05/2018","11/04/2018","A30442","DASO TRADING INC.",48,0,48,192.00,192.00
,"Sales Order","10/08/2018","12/07/2018","A30451","WURI, INC.",12,0,12,48.00,48.00
,"Sales Order","10/08/2018","11/07/2018","A30458","PAUL'S BEAUTY WHOLESALE",10,0,10,40.00,40.00
,"Sales Order","10/09/2018","11/08/2018","A30459","BIG MAN TRADING INC.",24,0,24,96.00,96.00
,"Sales Order","10/09/2018","11/08/2018","A30462","GRACE WORLD",48,0,48,192.00,192.00
,"Sales Order","03/06/2019","04/05/2019","A31314","US IMPORT",6,0,6,24.00,24.00
